,id,text,created_at,retweet_count,favorite_count,source,country,user_id,user_screen_name,user_name,user_created_at,user_followers_count,user_friends_count,user_location
0,1030494214042177536,"White people, space &amp; robots - three ridiculous questions with @TiffanyHaddish... #3RQ @Ciroc https://t.co/992IgLATIH",2018-08-17 16:39:00,25,140,Media Studio,,26053643,jimmykimmel,Jimmy Kimmel,2009-03-23 18:05:56,11398250,600,Los Angeles
1,1030090458830008320,An important message from your innocent friends at #Apple https://t.co/isZHsqE6Y5,2018-08-16 13:54:38,158,708,Media Studio,,26053643,jimmykimmel,Jimmy Kimmel,2009-03-23 18:05:56,11398250,600,Los Angeles
2,1030082879760396289,"If you hate stirring peanut butter, allow me to teach you to love https://t.co/PxZvz6islR",2018-08-16 13:24:31,56,490,Media Studio,,26053643,jimmykimmel,Jimmy Kimmel,2009-03-23 18:05:56,11398250,600,Los Angeles
3,1030075196135202816,Looks like the #WhiteHouse got #Omaroasted… https://t.co/AKO5HNmgrX,2018-08-16 12:53:59,184,1086,Media Studio,,26053643,jimmykimmel,Jimmy Kimmel,2009-03-23 18:05:56,11398250,600,Los Angeles
4,1030067034892029953,.@TomArnold is on the hunt/rampage for Trump tapes! https://t.co/cmRpYI44Oy,2018-08-16 12:21:33,94,647,Media Studio,,26053643,jimmykimmel,Jimmy Kimmel,2009-03-23 18:05:56,11398250,600,Los Angeles
5,1029865577542705152,This story is fascinating and VERY well-written (funny too) - well done @bterris https://t.co/oRBHvpwYvw,2018-08-15 23:01:02,83,713,Twitter Web Client,,26053643,jimmykimmel,Jimmy Kimmel,2009-03-23 18:05:56,11398250,600,Los Angeles
6,1029727466409971712,EXCLUSIVE @RealDonaldTrump tape with lots of N-words... https://t.co/qEpF6HYDCX,2018-08-15 13:52:14,320,1586,Media Studio,,26053643,jimmykimmel,Jimmy Kimmel,2009-03-23 18:05:56,11398250,600,Los Angeles
7,1029713883504685056,Our staff reacts to @SandraLeeMD #DrPimplePopper https://t.co/vsrKRTrxfN,2018-08-15 12:58:15,50,374,Media Studio,,26053643,jimmykimmel,Jimmy Kimmel,2009-03-23 18:05:56,11398250,600,Los Angeles
8,1029704156179619841,"I talked to #LittleLeagueWorldSeries sensation Alfred ""Big Al"" Delia and can confirm that he does indeed hit dinger… https://t.co/e3a5QmgMF7",2018-08-15 12:19:36,1115,4841,Media Studio,,26053643,jimmykimmel,Jimmy Kimmel,2009-03-23 18:05:56,11398250,600,Los Angeles
9,1029353920185815040,There MUST be a better way to stir peanut butter https://t.co/407DLjOKnA,2018-08-14 13:07:53,63,682,Media Studio,,26053643,jimmykimmel,Jimmy Kimmel,2009-03-23 18:05:56,11398250,600,Los Angeles
10,1029346385684885504,What kind of #BreakingNews would @WolfBlitzer leave vacation for? @CNN https://t.co/gisUWiEzdP,2018-08-14 12:37:57,95,639,Media Studio,,26053643,jimmykimmel,Jimmy Kimmel,2009-03-23 18:05:56,11398250,600,Los Angeles
11,1029203825775661061,I am humbled to announce that @JimmyKimmelLive has been honored with the @JDPower Award for Most Reliable Midsize L… https://t.co/ZSItI2ur9J,2018-08-14 03:11:28,290,3464,Media Studio,,26053643,jimmykimmel,Jimmy Kimmel,2009-03-23 18:05:56,11398250,600,Los Angeles
12,1028451557916983296,Not every question warrants an immediate answer. Some answers need to be considered and a talk show with time const… https://t.co/WJUkzVe27U,2018-08-12 01:22:13,6443,51461,Twitter for iPhone,,26053643,jimmykimmel,Jimmy Kimmel,2009-03-23 18:05:56,11398250,600,Los Angeles
13,1028350818569748482,A glutton’s wonderland. @DeKalbMrktHall @IamGuillermo #Brooklyn https://t.co/iebRrxVWRp,2018-08-11 18:41:55,87,1719,Twitter Web Client,,26053643,jimmykimmel,Jimmy Kimmel,2009-03-23 18:05:56,11398250,600,Los Angeles
14,1027970878355566592,#FridayFeeling #PrinceStreetPizza #NYC @IamGuillermo https://t.co/47gUwWFrSE,2018-08-10 17:32:10,139,2770,Twitter Web Client,,26053643,jimmykimmel,Jimmy Kimmel,2009-03-23 18:05:56,11398250,600,Los Angeles
15,1027951273931300864,Meet the first official member of the #SpaceForce - @Fred_Willard https://t.co/xRFVrTbKYI,2018-08-10 16:14:16,399,2078,Media Studio,,26053643,jimmykimmel,Jimmy Kimmel,2009-03-23 18:05:56,11398250,600,Los Angeles
16,1027935890964795392,"My FULL INTERVIEW with @KanyeWest on Trump, love, porn &amp; more! https://t.co/C25ivO9d5l",2018-08-10 15:13:09,274,1345,Twitter Web Client,,26053643,jimmykimmel,Jimmy Kimmel,2009-03-23 18:05:56,11398250,600,Los Angeles
17,1027766393561788416,NEW #MeanTweets Hip Hop Edition with @50Cent @ASVPXRocky @TheRealEve @Pusha_T @BigSean @RealRemyMa @RaeSremmurd… https://t.co/yzulgVPdv5,2018-08-10 03:59:37,4546,11130,Media Studio,,26053643,jimmykimmel,Jimmy Kimmel,2009-03-23 18:05:56,11398250,600,Los Angeles
